Characteristic,Sub-characteristic,Observation mode,Values,Sub-values,Image,Variables,unit,uid,Definition from observation under binocular,Definition from observation on cross-section,Notice for modification of the current MiCorr interface,Comments,CP Binocular,CP CS,CM Binocular,CM CS,D Binocular,D CS,M Binocular,M CS,NMM Binocular,NMM CS,POM Binocular,POM CS,S Binocular,S CS,SV Binocular,SV CS
Morphology,,,,,,,,,The morphology of a stratum is the shape (geometric or not)  defined by the volume of the stratum and it general appearance.,The morphology of a stratum is the shape (geometric or not)  defined by the volume of the stratum and it general appearance.,,,x,X,x,,x,X,x,X,x,X,x,X,x,X,x,X
Morphology,Shape,Binocular,,,,,,,Geometry of the stratum in the observed area. Only the film/coating/layer options are made visible. The blank option corresponds to a stratum which shape is not known.,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Blank,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Cloud,,,,,,Continuous or very fine discontinuous outer stratum showing the underlying stratum.,,,,x,,,,x,,,,x,,,,x,,,
Morphology,,Binocular,Cluster,,,,,,"Stratum, usually thick, dispersed or isolated, of irregular massive shape.",,,,x,,,,x,,,,x,,x,,x,,,
Morphology,,Binocular,Crater,,,,,,Particular shape at the surface of a metal stratum in the form of a cavity that is wider than deep.,,,,,,x,,,,x,,,,,,,,,
Morphology,,Binocular,Curly,,,,,,,,,,x,,,,,,,,,,,,,,,
Morphology,,Binocular,Crust,,,,,,Continuous or discontinuous outer stratum of possibly irregular thickness.,,,,x,,,,x,,,,,,,,x,,,
Morphology,,Binocular,Droplet,,,,,,"Most often outer stratum dispersed or isolated, droplet-shaped stratum.",,,,x,,,,x,,,,,,,,,,,
Morphology,,Binocular,Film/coating,,,,,,Thin continuous or discontinuous stratum of regular thickness (on the scale of the observation) and whose faces appear parallel.,,"""Layer"" taken out of LayerFilm/coating",,x,,,,x,,x,,x,,,,x,,,
Morphology,,Binocular,Layer,,,,,,Thin continuous or discontinuous stratum of regular thickness (on the scale of the observation) and whose faces appear parallel.,,Added,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Nodule,,,,,,"Generally thick, dispersed or isolated stratum of massive pseudo-geometric shape.",,,,x,,x,,x,,x,,,,,,x,,,
Morphology,,Binocular,Pit,,,,,,Particular shape on the surface of a metal stratum in the form of a cavity deeper than wide.,,,,,,x,,,,x,,,,,,,,,
Morphology,,Binocular,Pustule,,,,,,Dispersed or isolated stratum of conical or hemispherical shape.,,,,x,,,,,,,,,,,,,,,
Morphology,,Binocular,Veins or seams,,,,,,Continuous or discontinuous stratum.,,,,x,,,,x,,x,,,,,,,,x,
Morphology,,Binocular,Whiskers,,,,,,Stratum in the form of a filament or hair extending over the surface. ,,Added,,x,,,,x,,,,,,,,,,,
Morphology,,Binocular,Geometrical shape,,,,,,Stratum with a specific geometrical shape,,Added,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Circular,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Conical,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Cubic,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Cylindrical,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Hemispherical,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Lens-shaped,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Ovoid,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Parallelepipedal,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Prismatic,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Pyramidal,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Ring-shaped,,,,,,,Added,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Sector of a sphere,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Spherical cap,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Spherical,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Trapezoïdal,,,,,,,Added,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Curve-shaped,,,,,,,Added,,x,,,,,,x,,,,,,,,,
Morphology,Width,Cross-section,,,,,,,The width should be deduced in relation to the other strata of the corrosion structure. The blank option corresponds to a stratum which width is not known.,Determined on the observed area. It is expressed in µm and %. ,Field taken out under binocular observation.,,,X,,X,,X,,X,,X,,X,,X,,X
Morphology,,,Blank,,,,,,,,Field taken out under binocular observation.,,,,,,,,,,,,,,,,,
Morphology,,,Large,,,,,,,,Field taken out under binocular observation.,,,,,,,,,,,,,,,,,
Morphology,,,Medium,,,,,,,,Field taken out under binocular observation.,,,,,,,,,,,,,,,,,
Morphology,,,Small,,,,,,,,Field taken out under binocular observation.,,,,,,,,,,,,,,,,,
Morphology,,Cross-section,Observerd area,,,dimension ,µm,areaWidthVarFamily,Total observed area,In µm.,Added,Value,,X,,X,,X,,X,,X,,X,,X,,X
Morphology,,Cross-section,Stratum,,,dimension ,µm,stratumWidthVarFamily,,In µm.,Added,Value,,X,,X,,X,,X,,X,,X,,X,,X
Morphology,,Cross-section,Percentage,,,dimension ,%,percentageWidthVarFamily,stratum vs observed area,in % (deduced automatically).,Added,Value,,X,,X,,X,,X,,X,,X,,X,,X
Morphology,Thickness,Binocular,,,,,,minThicknessVarFamily,"The thickness of the strata in the observed area can be measured if the binocular or microscope is equipped with scales. Otherwise, the thickness should be deduced in relation to the other strata of the corrosion structure (thick, medium, thin). The blank option corresponds to a stratum which thickness is not known.",,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Blank,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Thick,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Medium,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Thin,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,,,,Dimension ,,,If the measurement is possible. ,,Added,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Minimal,,,dimension ,µm,minThicknessVarFamily,In µm,,Added,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Maximal,,,dimension ,µm,maxThicknessVarFamily,In µm,,Added,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Average,,,dimension ,µm,avgThicknessVarFamily,In µm,,Added,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Cross-section,,,,,,,,Determined on the observed area.  A minimal and maximum thickness should be given. The blank option corresponds to a stratum which thickness is not known.,,,,X,,X,,X,,X,,X,,X,,X,,X
Morphology,,Cross-section,,,,Dimension,,,,,,,,,,,,,,,,,,,,,,
Morphology,,Cross-section,Minimal,,,Minimal,,minThicknessCSVarFamily,,In µm.,Added,Value,,X,,X,,X,,X,,X,,X,,X,,X
Morphology,,Cross-section,Maximal,,,Maximal,,maxThicknessCSVarFamily,,In µm.,Added,Value,,X,,X,,X,,X,,X,,X,,X,,X
Morphology,,Cross-section,Average,,,Average,,avgThicknessCSVarFamily,,In µm.,Added,Value,,X,,X,,X,,X,,X,,X,,X,,X
Morphology,Continuity,Binocular,,,,,,,The continuity of a stratum is assessed in relation to the observed area. The blank option corresponds to a stratum which continuity is not known.,,,To find a way to represent this discontinuity / continuity in compensation of the not representation of the width under binocular observation.,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Blank,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Continuous,,,,,,Stratum showing no interruption (consisting of a single stratigraphic element) over the observed area.,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Discontinuous,,,,,,Stratum with one ore more interruption(s) in the observed area.,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,,Discontinuous 2,,,,,,,,Field taken out under binocular observation.,,,,,,,,,,,,,,,,,
Morphology,,,Discontinuous 3,,,,,,,,Field taken out under binocular observation.,,,,,,,,,,,,,,,,,
Morphology,,Binocular,Scattered,,,,,,Stratum consisting of numerous stratigraphic elements separated from each other and distributed over the observed area.,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Isolated,, ,,,,Stratum consisting of one or more stratigraphic elements having a minority volume over the area observed.,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Cross-section,,,,,,,,The continuity of a stratum is assessed in relation to the observed area. The blank option corresponds to a stratum which continuity is not known.,Added,,,X,,X,,X,,X,,X,,X,,X,,X
Morphology,,Cross-section,Blank,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,X
Morphology,,Cross-section,Continuous,,,,,,,Stratum showing no interruption (consisting of a single stratigraphic element) over the observed area.,Added,,,X,,X,,X,,X,,X,,X,,X,,X
Morphology,,Cross-section,Discontinuous,,,,,,,Stratum with one ore more interruption(s) in the observed area.,Added,,,X,,X,,X,,X,,X,,X,,X,,X
Morphology,Direction,Binocular,,,,,,,The surface orientation represents the direction of the described stratum in relation to the tangential plane of the present surface (or to the mean tangential plane of the present surface in the case of macro-roughnesses or irregularities). Only the longitudinal option is made visible. The blank option corresponds to a stratum which direction is not known.,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Blank,"
",,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Longitudinal,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Oblique,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Transversal,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Multidirectional,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,Colour,Binocular,,,,list,colourFamily,,Assessed with naked eyes on the observed area. The number of colours offered is deliberately limited in order to allow a reliable transmission of this property in the descriptions. The blank option corresponds to a stratum which colour is not known.,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Blank,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,White,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Yellow,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Light,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Medium,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Dark,,,,,,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Orange,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Light,,,,,,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Medium,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Dark,,,,,,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,,Ochre,,,,,,,,Field taken out under binocular observation.,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Pink,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Light,,,,,,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Medium,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Dark,,,,,,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Red,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Light,,,,,,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Medium,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Dark,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Green,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Light,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Medium,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Dark,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Blue,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Light,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Medium,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Dark,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Brown,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Light,,,,,,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Medium,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Dark,,,,,,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Grey,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Light,,,,,,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Medium,,,,,,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,,Dark,,,,,,,Added,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Black,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,Colour (with optical microscope - bright field),Cross-section,,,,,,,,Determined on the observed area. The number of colours offered is deliberately limited in order to allow a reliable transmission of this property in the descriptions. The blank option corresponds to a stratum which colour is not known.,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Blank,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,White,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Yellow,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Orange,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Pink,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Red,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Green,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Blue,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Brown,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Grey,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Black,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,Colour (with optical microscope - dark field),Cross-section,,,,,,,,Determined on the observed area. The number of colours offered is deliberately limited in order to allow a reliable transmission of this property in the descriptions. The blank option corresponds to a stratum which colour is not known.,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Blank,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,White,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Yellow,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Orange,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Pink,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Red,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Green,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Blue,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Brown,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Grey,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Black,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,Colour (with scanning electron microscope - secondary electrons),Cross-section,,,,,,,,Determined on the observed area. The number of colours offered is deliberately limited in order to allow a reliable transmission of this property in the descriptions. ,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,White,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Grey,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Black,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,Colour (with scanning electron microscope - backscattered electrons),Cross-section,,,,,,,,Determined on the observed area. The number of colours offered is deliberately limited in order to allow a reliable transmission of this property in the descriptions.,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,White,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Grey,Light,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Medium,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,,Dark,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,,Cross-section,Black,,,,,,,,Added,,,X,,X,,X,,X,,X,,X,,X,,
Morphology,Brightness,Binocular,,,,,,,Assessed on the observed area. None of the options is made visible. The blank option corresponds to a stratum which brightness is not known.,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Blank,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Metallic,,,,,,Shows high luminance even when the angle of view is varied.,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Submetallic,,,,,,Shows areas of high luminance and areas of lower luminance even when the viewing angle is varied.,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Vitreous,,,,,,"Luster of the glass, like quartz.",,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Resinous,,,,,,Resin luster. Some sulphides have a resinous luster.,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Silky or silklike,,,,,,"Shows a directed reflection of light. Caused by the reflection of light in a fine aggregate of parallel fibrous crystals (some gypsum, malachite).",,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Greasy,,,,,,Shows a slightly diffuse reflection as if a layer of oil was covering the surface.,,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Pearly,,,,,,"Shows surface iridescence. Caused by the refraction of light in crystal layers cleaved parallel to the surface (mother-of-pearl, micas).",,,,x,,x,,x,,x,,x,,x,,x,,,
Morphology,,Binocular,Adamantine,,,,,,"Shows a strong diamond like brilliance. Caused by strong refraction of light. Can be observed on corrosion products with a high refractive index and on fairly large crystals (such as cerusite and anglesite, cuprite).",,,,x,,x,,x,,x,,x,,x,,x,,,
