Characteristic,Sub-characteristic,Observation mode,Values,Sub-values,Image,Variables,unit,uid,Definition from observation under binocular,Definition from observation on cross-section,Notice for modification of the current MiCorr interface,Comments,CP Binocular,CP CS,CM Binocular,CM CS,D Binocular,D CS,M Binocular,M CS,NMM Binocular,NMM CS,POM Binocular,POM CS,S Binocular,S CS,SV Binocular,SV CS
 Microstructure,,Cross-section,,Twin lines / Newmann bands,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Equiaxe grains,,,,,,,Stratum consisting of equiaxed grains.,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Grain size,,Dimension,µm,,,In µm.,Added,Value,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Elongated inclusions,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Non elongated inclusions,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Inclusions size,,Dimension,µm,,,In µm.,Added,Value,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Inclusions distribution,,Percentage,%,,,In % of the observed area.,Added,Value,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Eutectic phase,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Slip lines,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,,Twin lines / Newmann bands,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,No microstructure visible at this observation scale,,,,,,,,Added,,,X,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Alternative bands,,,,,,,Occurrence of several alternately repeating layers of corrosion products of different composition.,Delete sub-characteristics,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,Isolated aggregate microstructure,,,,,,,Stratum containing one or more aggregate(s) having a minority volume over the area observed.,Delete sub-characteristics.,,,X,,,,X,,X,,X,,X,,X,,
 Microstructure,,Cross-section,Isolated aggregate microstructure in CP,,,,,,,CP section of the stratum containing one or more aggregate(s) having a minority volume over the area observed.,,,,,,X,,,,,,,,,,,,
 Microstructure,,Cross-section,Scattered aggregate microstructure,,,,,,,Stratum containing numerous aggregates separated from each other and distributed over the observed area.,Delete sub-characteristics.,,,X,,,,X,,X,,X,,X,,X,,
 Microstructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Microstructure,,Cross-section,Pseudomorph of dendritic microstructure,,,,,,,Microstructure formed by selective replacement of dendritic and interdendritic zones. Form revealed by the presence of zones in a corrosion layer stratum corresponding to the dendritic microstructure of the original metal.,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Eutectic phase,,,,,,,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Inclusions,,,,,,,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Slip lines,,,,,,,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Twin lines,,,,,,,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,Pseudomorph of grain microstructure,,,,,,,Microstructure formed by selective replacement of grains and grain boundaries. Form revealed by the presence of zones in a corrosion layer stratum corresponding to the grain microstructure of the original metal.,granular modified,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Eutectic phase,,,,,,,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Inclusions,,,,,,,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Slip lines,,,,,,,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,,Twin lines,,,,,,,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,Pseudomorph of organic material,,,,,,,Microstructure formed by the replacement of the constituents of organic materials by corrosion products. The alteration process has led to a preservation of the initial form of the organic materials and a partial or total transformation of the organic matter.,Added,,,X,,,,,,,,,,,,,,
 Microstructure,,Cross-section,Pebbles,,,,,,,20 to 75 mm.,Added,,,,,,,,,,,,,,,X,,
 Microstructure,,Cross-section,Gravel,,,,,,,2 to 20 mm.,Added,,,,,,,,,,,,,,,X,,
 Microstructure,,Cross-section,Coarse sands,,,,,,,"0,4 to 2 mm. Crumbling.",Added,,,,,,,,,,,,,,,X,,
 Microstructure,,Cross-section,Fine sands,,,,,,,"0,08 to 0,4 mm.",Added,,,,,,,,,,,,,,,X,,
 Microstructure,,Cross-section,Limons,,,,,,,"0,01 to 0,08 mm.",Added,,,,,,,,,,,,,,,X,,
 Microstructure,,Cross-section,Clay,,,,,,,"< 0,01 mm.",Added,,,,,,,,,,,,,,,X,,
 Microstructure,,Cross-section,Cementite,,,,,,,Cementite is an iron carbide with the chemical formula Fe₃C.,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Ferrite,,,,,,,Ferrite is a solid solution of carbon in the iron allotrope α.,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Pearlite,,,,,,,Perlite is a two-phase component generally consisting of alternating lamellae of cementite (Fe₃C) and ferrite.,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Graphite lamellas,,,,,,,Phase characteristic of grey cast iron.,,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Copper alpha phase,,,,,,,Primary phase in most copper based alloys,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,P-eutectic,,,,,,,"Structural components in grey cast iron alloys, also referred to as steatite.",Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Beta compounds (voir composés du Bz),,,,,,,,Added,,,,,,,,,X,,,,,,,,
 Microstructure,,Cross-section,Others?,,,,,,,,Added,To develop further,,,,,,,,X,,,,,,,,
Composition,,,,,,,,,Chemical nature of the stratum.,Chemical nature of the stratum.,,,x,X,x,X,x,X,x,X,x,X,x,X,x,X,,
Composition,Main element(s),Binocular,,,,list,elementFamily,,Determined in the observed area. Only the family element(s) should be given.,,,Only if elementary analysis has been carried out.,x,,,,x,,x,,x,,x,,x,,,
Composition,Main element(s),Cross-section,,,,,,,,Determined in the observed area. Only the family element(s) should be given.,Added,fieldset,,X,,,,X,,X,,X,,X,,X,,
Composition,,Cross-section,List,,,list,elementFamily,,,Determined in the observed area. Only the family element(s) should be given.,Added,,,X,,,,X,,X,,X,,X,,X,,
Composition,,Cross-section,Amount,,,percentage,%,,,In % (mass).,Added,,,X,,,,X,,X,,X,,X,,X,,
Composition,Secondary element(s),Binocular,,,,list,elementFamily,,Any other element(s) having a concentration greater than 1% (in weight) and / or affecting the properties of the CP.,,,Only if elementary analysis has been carried out.,x,,,,x,,x,,x,,x,,x,,,
Composition,Secondary element(s),Cross-section,,,,,,,,Any other element(s) having a concentration greater than 1% (in weight) and / or affecting the properties of the CP.,Added,fieldset,,X,,,,X,,X,,X,,X,,X,,
Composition,,Cross-section,List,,,list,elementFamily,,,Any other element(s) having a concentration greater than 1% (in weight) and / or affecting the properties of the CP.,Added,Value,,X,,,,X,,X,,X,,X,,X,,
Composition,,Cross-section,Amount,,,percentage,%,,,In % (mass).,Added,Value,,X,,,,X,,X,,X,,X,,X,,
Composition,Compounds,Binocular,,,,,,,Formula of the CP(s) deduced from its (their) main and secondary element(s) and validaded by analytical techniques.,,,Only if structural or molecular analysis has been carried out.,x,,,,x,,,,x,,x,,x,,,
Composition,,Binocular,,,,,,,,,Added,,x,,,,x,,,,x,,x,,x,,,
Composition,,Binocular,XRD,,,formula,compoundFamily,,Formula.,,Added,,x,,,,x,,,,x,,x,,x,,,
Composition,,Binocular,Raman spectroscopy,,,formula,compoundFamily,,Formula.,,Added,,x,,,,x,,,,x,,x,,x,,,
Composition,,Binocular,FTIR,,,formula,compoundFamily,,Formula.,,Added,,x,,,,x,,,,x,,x,,x,,,
Composition,,Binocular,Others,,,formula,compoundFamily,,Formula.,,Added,,x,,,,x,,,,x,,x,,x,,,
Composition,Compounds,Cross-section,,,,,,,,Formula of the CP(s) deduced from its (their) main and secondary element(s) and validaded by analytical techniques.,Added,,,X,,,,X,,,,X,,X,,X,,
Composition,,Cross-section,,,,,,,,,Added,,,,,,,,,,,,,,,,,
Composition,,Cross-section,XRD,,,formula,compoundFamily,,,Formula.,Added,,,X,,,,X,,,,X,,X,,X,,
Composition,,Cross-section,Raman spectroscopy,,,formula,compoundFamily,,,Formula.,Added,,,X,,,,X,,,,X,,X,,X,,
Composition,,Cross-section,FTIR,,,formula,compoundFamily,,,Formula.,Added,,,X,,,,X,,,,X,,X,,X,,
Composition,,Cross-section,Others,,,formula,compoundFamily,,,Formula.,Added,,,X,,,,X,,,,X,,X,,X,,
Composition,Additional element(s),Binocular,,,,list,elementFamily,,"Any other element(s) not reported in main and secondary element(s). For CM, any element(s) not in M and CP.",,,Only if elementary analysis has been carried out.,x,,x,,x,,x,,x,,x,,x,,,
Composition,Additional element(s),Cross-section,,,,,,,,,,,,X,,,,X,,X,,X,,X,,X,,
Composition,,Cross-section,List,,,list,elementFamily,,,"Any other element(s) not reported in main and secondary element(s). For CM, any element(s) not in M and CP.",,,,X,,,,X,,X,,X,,X,,X,,
Composition,,Cross-section,Amount,,,percentage,%,,,In % (mass).,,,,X,,,,X,,X,,X,,X,,X,,
Composition,,Cross-section,M Amount,,,percentage,%,,,"In M part of CM, in % (mass).",,,,,,X,,,,,,,,,,,,
Composition,,Cross-section,CP Amount,,,percentage,%,,,"In CP part of CM, in % (mass).",,,,,,X,,,,,,,,,,,,
Composition,,Cross-section,Agg Amount,,,percentage,%,,,"In  aggregate(s) of CM, in % (mass).",,,,,,X,,,,,,,,,,,,
Composition,Second band / aggregate,Binocular,,,,,,,,,,,,,,,,,,,,,,,,,,
Composition,,Binocular,main element(s),,,list,elementFamily,,Only the family element(s) should be given.,,,Only if elementary analysis has been carried out.,x,,,,,,,,,,,,,,,
Composition,"Second band / aggregate
main element(s)",Cross-section,,,,,,,,,,,,,,,,,,,,,,,,,,
Composition,,Cross-section,List,,,list,elementFamily,,,Only the family element(s) should be given.,Added,,,X,,,,,,,,,,,,,,
Composition,,Cross-section,Amount,,,percentage,%,,,In % (mass).,Added,,,X,,,,,,,,,,,,,,
Composition,,Binocular,secondary element(s),,,list,elementFamily,,Any other element(s) having a concentration greater than 1% (in weight) and / or affecting the properties of the CP.,,,Only if elementary analysis has been carried out.,x,,,,,,,,,,,,,,,
Composition,"Second band / aggregate
secondary element(s)",Cross-section,,,,,,,,,,,,X,,,,,,,,,,,,,,
Composition,,Cross-section,List,,,list,elementFamily,,,Any other element(s) having a concentration greater than 1% (in weight) and / or affecting the properties of the CP.,Added,,,X,,,,,,,,,,,,,,
Composition,,Cross-section,Amount,,,percentage,%,,,In % (mass).,Added,,,X,,,,,,,,,,,,,,
Composition,"Second band / aggregate
Compounds",Binocular,,,,,,,Formula of the CP(s) deduced from its (their) main and secondary element(s).,,Added,Only if structural or molecular analysis has been carried out.,x,,,,,,,,,,,,,,,
Composition,,Binocular,,,,,,,,,Added,,x,,,,,,,,,,,,,,,
Composition,,Binocular,XRD,,,formula,compoundFamily,,Formula.,,Added,,x,,,,,,,,,,,,,,,
Composition,,Binocular,Raman spectroscopy,,,formula,compoundFamily,,Formula.,,Added,,x,,,,,,,,,,,,,,,
Composition,,Binocular,FTIR,,,formula,compoundFamily,,Formula.,,Added,,x,,,,,,,,,,,,,,,
Composition,,Binocular,Others,,,formula,compoundFamily,,Formula.,,Added,,x,,,,,,,,,,,,,,,
Composition,"Second band / aggregate
Compounds",Cross-section,,,,,,,,Formula of the CP(s) deduced from its (their) main and secondary element(s).,Added,,,X,,,,,,,,,,,,,,
Composition,,Cross-section,Techniques,,,,,,,,Added,,,X,,,,,,,,,,,,,,
Composition,,Cross-section,XRD,,,formula,compoundFamily,,,Formula.,Added,,,X,,,,,,,,,,,,,,
Composition,,Cross-section,Raman spectroscopy,,,formula,compoundFamily,,,Formula.,Added,,,X,,,,,,,,,,,,,,
Composition,,Cross-section,FTIR,,,formula,compoundFamily,,,Formula.,Added,,,X,,,,,,,,,,,,,,
Composition,,Cross-section,Others,,,formula,compoundFamily,,,Formula.,Added,,,X,,,,,,,,,,,,,,
Composition,Second band / aggregate,Binocular,,,,,,,,,,,,,,,,,,,,,,,,,,
Composition,,Binocular,additional element(s),,,list,elementFamily,,Any other element(s) not reported in main and secondary element(s).,,,Only if elementary analysis has been carried out.,x,,,,,,,,,,,,,,,
,"Second band / aggregate
additional element(s)",Cross-section,,,,,,,,,,,,,,,,,,,,,,,,,,
Composition,,Cross-section,List,,,list,elementFamily,,,Any other element(s) not reported in main and secondary element(s).,Added,,,X,,,,,,,,,,,,,,
Composition,,Cross-section,Amount,,,percentage,%,,,In % (mass).,Added,,,X,,,,,,,,,,,,,,
Composition,Composition,Binocular,,,,,,,,,,,,,,,,,,,x,,x,,,,,
Composition,,Binocular,Enamel,,,,,,"Opaque or semi-transparent glossy substance that is a type of glass, applied by vitrification to metallic surfaces for ornament or as a protective coating.",,,,,,,,,,,,x,,,,,,,
Composition,Composition,Cross-section,,,,,,,,,,,,,,,,,,,,X,,X,,,,
Composition,,Cross-section,Enamel,,,,,,,"Opaque or semi-transparent glossy substance that is a type of glass, applied by vitrification to metallic surfaces for ornament or as a protective coating.",Added,,,,,,,,,,,X,,,,,,
Composition,,Binocular,Leather,,,,,,Organic material created by tanning of animals skin.,,,,,,,,,,,,x,,x,,,,,
Composition,,Cross-section,Leather,,,,,,,Organic material created by tanning of animals skin.,Added,,,,,,,,,,,X,,X,,,,
Composition,,Binocular,Niello,,,,,,"Black compound of sulphur with silver, lead, or copper, used for filling in engraved designs in silver or other metals.",,,,,,,,,,,,x,,,,,,,
Composition,,Cross-section,Niello,,,,,,,"Black compound of sulphur with silver, lead, or copper, used for filling in engraved designs in silver or other metals.",Added,,,,,,,,,,,X,,,,,,
Composition,,Binocular,Paint,,,,,,Pigmented material applied as a thin layer and forming a solid film.,,,,,,,,,,,,x,,,,,,,
Composition,,Cross-section,Paint,,,,,,,Pigmented material applied as a thin layers and forming a solid film.,Added,,,,,,,,,,,X,,,,,,
Composition,,Binocular,Textile,,,,,,Flexible material composed of a network of artificial or natural fibers.,,,,,,,,,,,,x,,x,,,,,
Composition,,Cross-section,Textile,,,,,,,Flexible material composed of a network of artificial or natural fibers.,Added,,,,,,,,,,,X,,X,,,,
Composition,,Binocular,Wax ,,,,,,"Organic compound, lipophilic, malleable, solid at ambient temperatures and melts above about 40°C. Insoluble in water, but soluble in nonpolar, organic solvents. Can be produced by plants, animals or with artificial material.",,,,,,,,,,,,x,,,,,,,
Composition,,Cross-section,Wax ,,,,,,,"Organic compound, lipophilic, malleable, solid at ambient temperatures and melt above about 40°C. Insoluble in water, but soluble in nonpolar, organic solvents. Can be produced by plants, animals or with artificial material.",Added,,,,,,,,,,,X,,,,,,
Composition,,Binocular,Wood,,,,,,Porous and fibrous structure founds in trees and plants.,,,,,,,,,,,,x,,x,,,,,
Composition,,Cross-section,Wood,,,,,,,Porous and fibrous structure founds in trees and plants.,Added,,,,,,,,,,,X,,X,,,,
Composition,,Binocular,Bone,,,,,,Rigid organ that constitutes part of the vertebrate skeleton in animals.,,,,,,,,,,,,x,,x,,,,,
Composition,,Cross-section,Bone,,,,,,,Rigid organ that constitutes part of the vertebrate skeleton in animals.,Added,,,,,,,,,,,X,,X,,,,
Composition,,Binocular,Other,,,,,,,,,,,,,,,,,,x,,,,,,,
Composition,,Cross-section,Other,,,,,,,,Added,,,,,,,,,,,X,,,,,,
Interface,,,,,,,,,Transition between the current stratum and the upper one.,Transition between the current stratum and the upper one.,,,x,X,,,x,X,x,X,x,X,x,X,x,X,x,X
Interface,Profile,Binocular,,,,,,,Assessed on the observed area. The blank option corresponds to a stratum which upper interface profile is not known.,,,No need to fill if there is a CM.,x,,,,x,,x,,x,,x,,x,,x,
Interface,,Binocular,Blank,,,,,,,,,,,,,,,,,,,,,,,,,
Interface,,Binocular,Straight,,,,,,No waves along the observed length.,,,,x,,,,x,,x,,x,,x,,x,,x,
Interface,,Binocular,Wavy,,,,,,Shows variations or undulations with a low height to length ratio. Angles are greater than 90°.,,,,x,,,,x,,x,,x,,x,,x,,x,
Interface,,Binocular,Bumpy,,,,,,Presents variations that are close in height and length. Angles can be equal to or less than 90°.,,,,x,,,,x,,x,,x,,x,,x,,x,
Interface,,Binocular,Irregular,,,,,,Presents variations whose height and length are unrelated. Angles may be variable.,,,,x,,,,x,,x,,x,,x,,x,,x,
Interface,Profile,Cross-section,,,,,,,,Determined on the observed area.,Added,,,X,,,,X,,X,,X,,X,,X,,X
Interface,,Cross-section,Blank,,,,,,,,Added,,,X,,,,X,,X,,X,,X,,X,,X
Interface,,Cross-section,Straight,,,,,,,No waves along the observed length.,Added,,,X,,,,X,,X,,X,,X,,X,,X
Interface,,Cross-section,Wavy,,,,,,,Shows variations or undulations with a low height to length ratio. Angles are greater than 90°.,Added,,,X,,,,X,,X,,X,,X,,X,,X
Interface,,Cross-section,Bumpy,,,,,,,Presents variations that are close in height and length. Angles can be equal to or less than 90°.,Added,,,X,,,,X,,X,,X,,X,,X,,X
Interface,,Cross-section,Irregular,,,,,,,Presents variations whose height and length are unrelated. Angles may be variable.,Added,,,X,,,,X,,X,,X,,X,,X,,X
Interface,Transition,Binocular,,,,,,,Assessed on the observed area. The blank option corresponds to a stratum which transition with upper stratum is not known.,,,Only if not an external layer. No need to fill if there is a CM.,x,,,,x,,x,,x,,x,,x,,,
Interface,,Binocular,,,,,,,,,,,x,,,,x,,x,,x,,x,,x,,,
Interface,,Binocular,Sharp,,,,,,Very sharp transition between strata.,,,,x,,,,x,,x,,x,,x,,x,,,
Interface,,Binocular,Diffuse,,,,,,   ,,,,x,,,,x,,x,,x,,x,,x,,,
Interface,,Binocular,Gradual,,,,,,Marked transition between two interpenetrating strata.,,,,x,,,,x,,x,,x,,x,,x,,,
Interface,Transition,Cross-section,,,,,,,,Determined on the observed area.,Added,,,X,,,,X,,X,,X,,X,,X,,
Interface,,Cross-section,Sharp,,,,,,,Very sharp transition between strata.,Added,,,X,,,,X,,X,,X,,X,,X,,
Interface,,Cross-section,Diffuse,,,,,,,Weak noticeable transition between strata. A large diffuse transition zone may require identification as an additional stratum.,Added,,,X,,,,X,,X,,X,,X,,X,,
Interface,,Cross-section,semi-gradual superior,,,,,,,Marked transition between two strata where the upper stratum has penetration into the lower stratum.,Added,,,X,,,,X,,X,,X,,X,,X,,
Interface,,Cross-section,semi-gradual inferior,,,,,,,Marked transition between two strata where the lower stratum has penetration into the upper stratum.,Added,,,X,,,,X,,X,,X,,X,,X,,
Interface,,Cross-section,Gradual,,,,,,,Marked transition between two interpenetrating strata.,Added,,,X,,,,X,,X,,X,,X,,X,,
Interface,Roughness,Binocular,,,,,,,Assessed on the observed area. The blank option corresponds to a stratum which upper interface roughness is not known.,,,No need to fill if there is a CM.,x,,,,x,,x,,x,,x,,x,,,
Interface,,Binocular,Blank,,,,,,,,,,x,,,,x,,x,,x,,x,,x,,,
Interface,,Binocular,Smooth,,,,,,Asperities not detectable by tactile evaluation. Roughness lower than that of n°0 (or n°1000) abrasive papers.,,,,x,,,,x,,x,,x,,x,,x,,,
Interface,,Binocular,Slightly rough,,,,,,Low asperities detectable by tactile evaluation but not or hardly detectable by visual evaluation. Roughness between the roughness of abrasive papers n°0 (or n°1000) and n°100.,,,,x,,,,x,,x,,x,,x,,x,,,
Interface,,Binocular,Rough,,,,,,High asperities detectable by tactile and visual evaluation. Roughness superior to that of n°100 abrasive papers.,,,,x,,,,x,,x,,x,,x,,x,,,
Interface,,Binocular,Uneven,,,,,,Visible asperities too big for tactile evaluation.,,,,x,,,,x,,x,,x,,x,,x,,,
Interface,Roughness,Cross-section,,,,,,,,Determined on the observed area.,Added,,,X,,,,X,,X,,X,,X,,X,,
Interface,,Cross-section,Rp,,,Dimension,µm,,,Maximum height of peak on the observed area. (measurment according to norme ISO 4288:1996),Added,Value,,X,,,,X,,X,,X,,X,,X,,
Interface,,Cross-section,Rc,,,Dimension,µm,,,Average height of the elements on the observed area. (measurment according to norme ISO 4288:1996),Added,Value,,X,,,,X,,X,,X,,X,,X,,
Interface,,Cross-section,Rt,,,Dimension,µm,,,"Total roughness corresponding to the sum of Rp and Rc. (measurment according to norme ISO 4288:1996)
",Added,Value,,X,,,,X,,X,,X,,X,,X,,
Interface,,Cross-section,Ra,,,Dimension,µm,,,Standard deviation or arithmetic mean of the distances between successive peaks and troughs. (measurment according to norme ISO 4288:1996),Added,Value,,X,,,,X,,X,,X,,X,,X,,
Interface,Adherence,Binocular,,,,,,,Assessed on the observed area. The blank option corresponds to a stratum which adherence with upper stratum is not known.,,,Only if the stratum is not an external layer.,x,,,,x,,x,,x,,x,,x,,,
Interface,,Binocular,Blank,,,,,,,,,,x,,,,x,,x,,x,,x,,x,,,
Interface,,Binocular,Inseparable,,,,,,The strata cannot be separated with a thin blade (scalpel).,,,,x,,,,x,,x,,x,,x,,x,,,
Interface,,Binocular,Adherent,,,,,,It is difficult to separate the strata with a thin blade (scalpel).,,,,x,,,,x,,x,,x,,x,,x,,,
Interface,,Binocular,Loosely,,,,,,The strata can be easily separated using a thin blade (scalpel).,,,,x,,,,x,,x,,x,,x,,x,,,
Interface,,Binocular,Non adherent,,,,,,The strata separate without any particular intervention.,,,,x,,,,x,,x,,x,,x,,x,,,
Interface,Adherence,Cross-section,,,,,,,,Determined on the observed area.,Added,,,X,,,,X,,X,,X,,X,,X,,
Interface,,Cross-section,Blank,,,,,,,,Added,,,X,,,,X,,X,,X,,X,,X,,
Interface,,Cross-section,Adherent,,,,,,,It is difficult to separate the strata with a thin blade (scalpel).,Added,,,X,,,,X,,X,,X,,X,,X,,
Interface,,Cross-section,Non adherent,,,,,,,The strata separate without any particular intervention.,Added,,,X,,,,X,,X,,X,,X,,X,,